objectid,abrevia,cod_linea,nom_ruta,orig_ruta,dest_ruta,fec_impl,loc_orig,loc_dest,long_ruta,oper_ruta,route_id,cod_ruta,zon_dest,zon_orig,hor_habil,hor_sab,hor_fest,est_ruta,tip_bus,tip_serv,dias_oper,tip_hor,tipo_oper,ruta_rural,globalid,shape_Length
3275,COM,19-12,Cantalejo,Toberín,Cantalejo,7/09/2015,11,11,4.3455054,MASIVO CAPITAL SO,7039,19-12c,2,2,4:00 a. m. - 10:00 p. m.,5:00 a. m. - 9:30 p. m.,5:00 a. m. - 9:30 p. m.,1,3,2,3,1,2,3,{8C1AAFB2-7114-4489-8659-AC3910E44E42},4345.50540150352
3281,COM,15-5,La María,Bicentenario,La María,21/09/2013,4,4,8.45953414,CONSORCIO EXPRESS SAN CRISTOBALD,7962,15-5c,13,13,4:00 a. m. - 11:00 p. m.,4:00 a. m. - 11:00 p. m.,5:00 a. m. - 10:00 p. m.,1,4,2,3,1,2,3,{8D0AF69E-176C-4B42-935F-E694EF915FC2},8459.5341409604
3284,KKK,KH317,Aeropuerto - Tunal,C.C. Tunal,Aeropuerto,11/05/2022,6,9,23.18208442,GMOVIL ENGATIVA E,10376,K317-1,6,11,3:30 a. m. - 9:00 p. m.,3:30 a. m. - 9:00 p. m.,4:00 a. m. - 8:00 p. m.,1,3,1,3,1,2,3,{8D6500FF-9406-4520-8AD8-00B7C703C710},23182.0844188615
3286,BBB,BB926,Est. Mazurén,Est. Mazurén,Sirena,25/07/2022,1,1,4.86362285,CONSORCIO EXPRESS USAQUEN N,8380,B926-3,1,1,5:00 a. m. - 9:00 p. m.,5:00 a. m. - 9:00 p. m.,,1,4,2,2,1,2,3,{8DEDC1D6-143D-4E5A-B9B6-681B1638D123},4863.62284915693
3297,CHA,E61,Casablanca - Porciúncula,Casablanca,Porciuncula,24/08/2013,11,11,27.06942931,MASIVO CAPITAL SO,6190,E61-3,3,3,4:00 a. m. - 10:00 p. m.,4:00 a. m. - 9:00 p. m.,4:00 a. m. - 9:00 p. m.,1,4,1,3,1,2,3,{9170022A-C75E-479D-8599-883F3F59D285},27069.4293118641
3298,ALI,9-4,Patio Bonito,Portal Americas,Patio Bonito,17/02/2014,8,8,7.34663833,MASIVO CAPITAL KE,11020,9-4a,8,8,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 11:30 p. m.,1,3,2,3,1,2,3,{917EA21F-8A37-4F33-B606-A9117D541C63},7346.63833409032
3299,ALI,10-1,Avenida Bosa,Portal Sur,Avenida Bosa,26/03/2015,7,7,8.09391505,ETIB BO,10895,10-1a,9,9,4:00 a. m. - 8:30 a. m. _ 4:00 p. m. - 12:30 a. m.,4:00 a. m. - 8:00 a. m.,,1,3,2,2,2,2,3,{9182BE61-8458-4AD0-A3C9-DD443A355C37},8093.91505334979
3304,ALI,2-4,El Codito,Portal Norte,El Codito,26/03/2015,1,1,12.33587914,CONSORCIO EXPRESS USAQUEN N,10953,2-4a,2,2,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 12:00 a. m.,1,3,2,3,1,2,3,{929873A4-C5E9-4DFD-B769-ECD5E112B875},12335.879136856
3306,ALI,7-2,Tunal,Calle 40 Sur,Tunal,31/01/2022,6,6,5.68112049,SUMA CIUDAD BOLIVAR BC,7671,7-2a,11,11,4:10 a. m. - 12:30 a. m.,4:10 a. m. - 12:30 a. m.,4:10 a. m. - 11:20 p. m.,1,3,2,3,1,2,3,{9305754D-9DA1-4D70-977B-891975DF9DCA},5681.12049458421
3311,NOR,T25,Potosí - Terminal Norte,Terminal Norte,Potosí,2/06/2015,11,19,42.9921926,CONSORCIO EXPRESS USAQUEN N,8009,T25-2,11,2,3:00 a. m. - 10:00 p. m.,3:00 a. m. - 10:00 p. m.,4:00 a. m. - 9:00 p. m.,1,3,1,3,1,2,3,{95060EA9-C91F-49CA-9171-71C1D13B0BB1},42992.1925963698
3312,ALI,9-9,Bosa Santafé,Portal Americas,Bosa Santa Fe,17/02/2014,8,8,9.29303042,MASIVO CAPITAL KE,11046,9-9a,8,8,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 11:30 p. m.,1,3,2,3,1,2,3,{951ACA41-2B47-43CD-BB4C-A34990E98C1F},9293.03041878929
3313,HHH,HH729,Aurora,Portal Usme,La Aurora,18/11/2024,5,5,3.68314533,E-SOMOS ALIMENTACION,11701,HH729-3,12,12,5:80 a. m. - 8:00 a. m. _ 5:00 p. m. - 10:00 p. m.,,,1,3,2,1,2,2,3,{952DEE2F-8B7B-48B5-8169-D81F4999B520},3683.14533141073
3315,LLL,LH817,Gaviotas – Est. Nariño,Gaviotas,Est. Nari-O,11/07/2022,4,4,17.64156664,CONSORCIO EXPRESS SAN CRISTOBALD,7043,LH817-3,13,13,4:00 a. m. - 9:00 p. m.,4:00 a. m. - 9:00 p. m.,5:00 a. m. - 9:00 p. m.,1,5,2,3,1,2,3,{9630D49C-1B6C-4A5B-B2A4-21421E95C590},17641.5666409742
3317,HHH,HL723,Usme Centro - Portal 20 De Julio,Usme Centro,Portal 20 De Julio,25/08/2022,5,5,30.60324306,MUEVE USME UB,11832,HL723-3,12,12,3:30 a. m. - 10:00 p. m.,3:30 a. m. - 10:00 p. m.,,1,4,1,2,1,2,3,{9651B27F-91FE-495B-82A9-7EDDFFB78343},30603.2430592322
3318,GGG,GF511,Portal Américas - Porvenir,Porvenir,Portal Americas,23/03/2021,7,7,7.99090445,MASIVO CAPITAL KE,5602,GF511-3,8,8,3:45 a. m. - 11:00 p. m.,4:00 a. m. - 11:00 p. m.,5:00 a. m. - 10:00 p. m.,1,3,2,3,1,2,3,{967D64DC-F16D-4DF9-91F9-E1010F02C144},7990.90444842294
3319,AAA,HA704,El Uval - Germania,El Uval,Germania,16/01/2021,5,3,23.82800092,GRAN AMERICAS USME III,12461,A704-1,0,12,5:30 a. m. - 10:30 p. m.,5:30 a. m. - 10:30 p. m.,6:00 a. m. - 10:30 p. m.,1,3,1,3,1,2,3,{968B2298-1730-4282-B736-DA5C53C6E0F9},23828.0009184339
3320,ALI,16-14,Aeropuerto,Portal El Dorado,Aeropuerto,6/06/2012,10,10,7.57828268,GMOVIL ENGATIVA E,10971,16-14a,5,5,4:30 a. m. - 12:20 a. m.,4:30 a. m. - 12:20 a. m.,4:30 a. m. - 11:30 p. m.,1,3,2,3,1,2,3,{96A7658F-9096-4613-B782-577D34BB576E},7578.28268341539
3321,ALI,16-1,Tierra Grata,Portal El Dorado,Tierra Grata,26/01/2013,10,10,8.67174091,GMOVIL ENGATIVA E,10960,16-1a,5,5,4:30 a. m. - 12:20 a. m.,4:30 a. m. - 12:20 a. m.,4:30 a. m. - 11:30 p. m.,1,3,2,3,1,2,3,{96F772B2-DD70-4777-900A-AE5770A3E173},8671.74091151858
3322,ALI,9-3,Bosa La Libertad,Portal Americas,Bosa La Libertad,17/02/2014,8,8,6.29920957,ETIB BO,10937,9-3a,8,8,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 11:30 p. m.,1,3,2,3,1,2,3,{986F56F4-7844-4C39-BF55-B42253E38751},6299.20957490399
3326,COM,19-10,Prado,Prado,Ciudad Jardin Norte,16/08/2016,11,11,6.9164964,MASIVO CAPITAL SO,6453,19-10c,2,2,5:00 a. m. - 9:00 p. m.,6:00 a. m. - 9:00 p. m.,6:00 a. m. - 9:00 p. m.,1,5,2,3,1,2,3,{993F5A0B-34C8-4F53-B271-4D9966E3E367},6916.49639623804
3330,ALI,9-8,Porvenir,Portal Americas,Porvenir,17/02/2014,8,8,8.1583968,MASIVO CAPITAL KE,11043,9-8a,8,8,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 11:30 p. m.,1,3,2,3,1,2,3,{9C3795E0-4B20-41CD-B5EB-17B5DFCBE218},8158.39679717022
3339,BBB,BB911,Portal Norte,Portal Norte,Portal Norte, ,11,11,3.5330569, ,0,B911-3,2,2,4:30 a. m. - 10:00 p. m.,4:00 a. m. - 9:00 p. m.,,2,5,1,2,1,2,3,{9EBABFFF-2CEE-4C21-A92F-374FF4971EDD},3533.05727046309
3342,ALI,8-1,Kennedy Central,Banderas,Kennedy Central,17/02/2014,8,8,4.69371167,MASIVO CAPITAL KE,10913,8-1a,8,8,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 11:20 p. m.,1,3,2,3,1,2,3,{9FA8B8CA-DDFB-4E2D-892E-88612096499D},4693.71167352396
3343,ENG,577,El Palmar - Diana Turbay,Diana Turbay,El Palmar,18/01/2014,18,10,37.77620532,GMOVIL ENGATIVA E,5578,577-1,5,12,4:00 a. m. - 11:00 p. m.,4:00 a. m. - 11:00 p. m.,5:00 a. m. - 10:00 p. m.,1,4,1,3,1,2,3,{9FAFE5B1-AAD1-4665-AEA5-A9BC62AB6148},37776.2053222977
3346,HHH,KH308,Puente Grande - El Tuno,Puente Grande,El Tuno,21/06/2021,9,5,28.15123559,GMOVIL ENGATIVA E,11205,H308-2,12,6,3:00 a. m. - 9:30 p. m.,3:00 a. m. - 9:30 p. m.,4:30 a. m. - 9:00 p. m.,1,4,1,3,1,2,3,{A0CE4068-9DB1-4FD2-BAC2-6A843D2E1BE8},28151.2355885534
3347,FFF,FH733,Tierra Buena - Cerros De Oriente,Cerros De Oriente,Tierra Buena,22/07/2024,8,18,24.30045302,MASIVO CAPITAL KE,8093,F733-1,8,12,4:00 a. m. - 10:00 p. m.,4:00 a. m. - 10:00 p. m.,5:00 a. m. - 9:00 p. m.,1,5,1,3,1,2,3,{A1143348-9A93-4980-94C7-58C5DB1387FC},24300.4530152949
3348,CHA,12,Fontibón S Pablo - Porciúncula,San Pablo,Porciuncula,13/04/2013,9,9,43.04352658,GMOVIL ENGATIVA E,7695,12-3,6,6,4:00 a. m. - 10:00 p. m.,5:00 a. m. - 9:00 p. m.,5:00 a. m. - 9:00 p. m.,1,4,1,3,1,2,3,{A114457A-136D-44F6-AA8A-DE4E74488A31},43043.5265790591
3352,LLL,LL822,Sidel - Est. Av. 1 De Mayo,Est. Av. 1 De Mayo,Sidel,1/09/2014,4,4,11.20692035,CONSORCIO EXPRESS SAN CRISTOBALD,8225,LL822-3,13,13,4:00 a. m. - 11:00 p. m.,4:00 a. m. - 11:00 p. m.,5:00 a. m. - 10:00 p. m.,1,5,2,3,1,2,3,{A2D00163-2D9C-4B62-A6D3-BB5FF055DC77},11206.920347801
3353,SAL,614,Bolonia Usme - Montevideo,Bolonia Usme,Montevideo,31/08/2013,5,9,26.41337754,GMOVIL ENGATIVA E,8411,614-1,6,12,3:30 a. m. - 11:00 p. m.,3:30 a. m. - 11:00 p. m.,4:30 a. m. - 10:00 p. m.,1,4,1,3,1,2,3,{A39B81DE-C414-4BF6-9066-DCCC18860FD2},26413.3775412752
3358,AAA,HA642,Rincón De Venecia - Porciúncula,Rincon De Venecia,Porciuncula,2/05/2023,6,6,41.92707018,ETIB BO,8234,HA642-3,10,10,4:00 a. m. - 10:00 p. m.,4:00 a. m. - 10:00 p. m.,5:00 a. m. - 10:00 p. m.,1,4,1,3,1,2,3,{A5BCC0EB-4CB9-41D6-A61D-F8BF1B52B679},41927.0701778467
3359,HHH,HK707,El Uval - El Refugio,El Refugio,El Uval,16/01/2021,5,9,34.28427687,GRAN AMERICAS USME III,10235,H707-2,12,6,2:45 a. m. - 10:00 p. m.,2:45 a. m. - 10:00 p. m.,5:00 a. m. - 10:00 p. m.,1,3,1,3,1,2,3,{A600CD14-6155-4974-A76B-94A56677C0DC},34284.2768719066
3360,HHH,HA725,El Tuno - Las Nieves,El Tuno,Las Nieves,20/08/2022,5,5,39.52681727,MUEVE USME UB,11705,HA725-3,12,12,3:30 a. m. - 10:00 p. m.,3:30 a. m. - 10:00 p. m.,4:30 a. m. - 9:00 p. m.,1,4,1,3,1,2,3,{A627D0D5-E5F4-4CCA-9BB9-FF60E073EE1D},39526.8172650771
3366,KKK,KL325,Fontibón Brisas - El Dorado,Fontibón Brisas,El Dorado,2/04/2022,9,3,25.07487023,ZMO FONTIBON V,11768,L325-1,13,6,3:30 a. m. - 8:00 p. m.,3:30 a. m. - 8:00 p. m.,4:30 a. m. - 8:00 p. m.,1,4,1,3,1,2,3,{A8DC63E2-AEC0-40D7-869F-C95A8BFE6525},25074.8702339736
3371,PER,T163,Perdomo - Calle 222,Calle 222,Perdomo,28/03/2015,19,11,41.5873008,MASIVO CAPITAL SO,8546,T163-2,10,2,4:00 a. m. - 11:00 p. m.,5:00 a. m. - 11:00 p. m.,5:00 a. m. - 9:00 p. m.,1,3,1,3,1,2,3,{A96E6536-8417-4769-85CF-1EEEF8600FB9},41587.3008006004
3373,C80,806,Providencia Alta - Sabana Del Dorado,Providencia Alta,Sabana Del Dorado,29/01/2014,18,10,30.08057202,GMOVIL ENGATIVA E,8103,806-1,5,12,4:00 a. m. - 11:00 p. m.,4:00 a. m. - 11:00 p. m.,5:00 a. m. - 10:00 p. m.,1,4,1,3,1,2,3,{AA5EF315-1791-4542-8B56-9824EFD72DFD},30080.5720198731
3377,KKK,HK700,Bellavista - Terminal Salitre,Bellavista,Terminal Salitre,16/01/2021,5,9,24.69338393,GRAN AMERICAS USME III,11825,K700-1,6,12,4:00 a. m. - 10:00 p. m.,4:00 a. m. - 10:00 p. m.,5:00 a. m. - 10:00 p. m.,1,3,1,3,1,2,3,{AB6679F5-437A-4CA4-9D44-2442AD44554E},24693.3839269649
3378,KKK,KC321,Fontibón Brisas - Tibabuyes,Tibabuyes,Fontibón Brisas,12/02/2022,9,11,28.72186227,MUEVE FONTIBON,12342,K321-2,6,3,3:00 a. m. - 10:00 p. m.,3:00 a. m. - 10:00 p. m.,4:00 a. m. - 9:00 p. m.,1,3,1,3,1,2,3,{AB7207CC-9F04-4575-9B7E-8C94F96D7C49},28721.8622737657
3380,FFF,FB419,Lijacá- Nueva Castilla,Lijaca,Nueva Castilla,15/11/2022,1,8,30.43783506,ESTE ES MI BUS TINTAL TZ,8430,F419-2,8,1,3:00 a. m. - 10:00 p. m.,3:30 a. m. - 10:20 p. m.,4:00 a. m. - 10:00 p. m.,1,3,1,3,1,2,3,{AC6D9C55-F9F7-485D-B349-5EA4A6F06CC7},30437.835059926
3381,CEN,731,Bosa San José - Palermo,Bosa San José,Palermo,1/03/2014,7,7,39.85147718,ETIB BO,5836,731-3,9,9,4:00 a. m. - 10:15 p. m.,4:00 a. m. - 10:15 p. m.,5:00 a. m. - 10:00 p. m.,1,3,1,3,1,2,3,{AC8313D1-B69E-4296-B605-A1E11E95009F},39851.4771828337
3388,CHA,59B,Bachué - Chapinero,Bachué,Chapinero,21/12/2013,10,10,31.1108632,ESTE ES MI BUS CALLE 80 CO01,7463,59B-3,4,4,4:00 a. m. - 9:00 p. m.,4:00 a. m. - 9:00 p. m.,5:00 a. m. - 9:00 p. m.,1,4,1,3,1,2,3,{AE3BF1AE-439E-417D-8EA7-F5129C62B67B},31110.8632004422
3392,ALI,3-5,Usminia,Portal Usme,Usminia,22/05/2021,5,5,14.11560569,E-SOMOS ALIMENTACION,10381,3-5a,12,12,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 12:30 a. m.,4:30 a. m. - 11:30 p. m.,1,3,2,3,1,2,3,{AF5B4271-87EA-4257-A262-AEA20372A522},14115.6056898335
3394,PER,TC14,Nueva Roma,Portal Sur,Nueva Roma,30/05/2015,7,7,10.01614229,ETIB BO,8244,TC14-3,9,9,4:30 a. m. - 10:00 p. m.,5:00 a. m. - 8:00 p. m.,6:00 a. m. - 6:00 p. m.,1,4,2,3,1,2,3,{AFB1EF47-EFA8-426E-B41B-35437FF33336},10016.1422909327
3395,USM,E44,Mirandela - El Uval,Mirandela,El Uval,11/07/2013,11,5,48.0891662,CONSORCIO EXPRESS USAQUEN N,8278,E44-2,12,2,3:00 a. m. - 10:00 p. m.,3:00 a. m. - 10:00 p. m.,4:00 a. m. - 9:00 p. m.,1,4,1,3,1,2,3,{AFD4F7D3-5B00-46F0-8577-C86EECE44148},48089.1661966141
3398,LLL,CL149,Bilbao - Est. Av. 1 De Mayo,Bilbao,Est- Av. 1 De Mayo,11/09/2021,11,4,30.7645043,EMASIVO 16 SF,12166,L149-1,13,3,6:00 a. m. - 10:30 p. m.,5:30 a. m. - 11:00 p. m.,5:30 a. m. - 11:00 p. m.,1,3,1,3,1,2,3,{B067F680-6B6F-4761-B5A1-773A20C21DC8},30764.5043045629
3399,KKK,HK724,Ciudadela Usme - Montevideo,Ciudadela Usme,Montevideo,27/08/2022,9,5,26.45005309,MUEVE USME UB,10296,K724-1,6,12,3:30 a. m. - 9:30 p. m.,3:30 a. m. - 9:30 p. m.,4:30 a. m. - 9:00 p. m.,1,3,1,3,1,2,3,{B13264E3-66D7-43FE-9A48-EACBBCFD08FA},26450.0530888466
3401,CEN,GA520,Bosa San Diego - Est. Las Nieves,Bosa San Diego,Est. Las Nieves,19/03/2014,7,7,52.54649929,ETIB BO,8241,120-3,9,9,4:00 a. m. - 9:30 p. m.,4:00 a. m. - 9:30 p. m.,5:00 a. m. - 08:00 p. m.,1,4,1,3,1,2,3,{B1DD0F8F-7843-47D4-859C-7A75EFA99E95},52546.4992933255
3403,CCC,KC315,Puente Grande - Suba Lisboa,Puente Grande,Suba Lisboa,16/11/2021,11,9,25.79750329,MUEVE FONTIBON,12153,C315-1,3,6,4:00 a. m. - 11:00 p. m.,4:00 a. m. - 11:30 p. m.,4:30 a. m. - 11:30 p. m.,1,4,1,3,1,2,3,{B254EF79-8872-456B-9A1E-15942CF7FACF},25797.5032899358
3404,HHH,HH632,Est. General Santander - Villa Gloria,Villa Gloria,Est. Gral Santander,17/09/2022,19,19,19.20041814,ODT LA ROLITA,10299,HH632-3,11,11,3:40 a. m. - 10:00 p. m.,4:43 a. m. - 12:00 a. m.,5:30 a. m. - 9:00 p. m.,1,4,2,3,1,2,3,{B29B9A0C-0A8E-44BE-80CF-7AF0576DA056},19200.4181354845
3407,ALI,12-1,Fátima,General Santander,Fatima,26/03/2015,16,16,6.11484943,ETIB BO,7642,12-1a,10,10,4:00 a. m. - 12:30 a. m.,4:10 a. m. - 12:30 a. m.,4:10 a. m. - 11:20 p. m.,1,3,2,3,1,2,3,{B38A38F6-3BB3-4DC8-B67D-01B8FDA7E31E},6114.84943447
3408,CHA,T12,San Joaquín - Calle 100,San Joaquin,Calle 100,9/02/2015,19,19,52.31993375,SUMA CIUDAD BOLIVAR BC,8559,T12-3,11,11,4:00 a. m. - 9:30 p. m.,4:00 a. m. - 9:00 p. m.,5:00 a. m. - 8:00 p. m.,1,3,1,3,1,2,3,{B3A773EE-312F-4447-A717-311DA85DC8E3},52319.9337486103
3409,ALI,9-11,Franja Seca,Portal Americas,Franja Seca,14/06/2014,8,8,6.0854059,MASIVO CAPITAL KE,11017,9-11a,8,8,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 11:30 p. m.,1,3,2,3,1,2,3,{B433498D-2849-4A6B-B94B-6F134073342C},6085.40590206529
3411,ALI,6-5,Tesoro,Portal Tunal,Tesoro,26/03/2015,6,6,10.20801107,SUMA CIUDAD BOLIVAR BC,10972,6-5a,11,11,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 11:30 p. m.,1,3,2,3,1,2,3,{B61C7E28-BB1B-4BF4-86D4-8ED052B518D8},10208.0110660927
3414,CEN,C1,Roma - Germania,Roma,Germania,20/07/2013,8,8,37.3630056,ETIB BO,4791,C1-3,9,9,4:00 a. m. - 10:00 p. m.,4:00 a. m. - 10:00 p. m.,5:00 a. m. - 10:00 p. m.,1,4,1,3,1,2,3,{B72419D3-C271-43C2-ABFE-5CD4B518790F},37363.0056021649
3415,HHH,HH625,Portal Tunal - Potosí,Portal Tunal,Potosí,2/08/2021,6,6,11.49979625,SUMA CIUDAD BOLIVAR BC,6441,H625-3,11,11,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 12:30 a. m.,4:10 a. m. - 11:30 p. m.,1,5,2,3,1,2,3,{B7E9A34A-024E-4C1C-BE19-3DF4D9774A35},11499.796248041
3419,ALI,1-5,Colsubsidio,Portal 80,Colsubsidio,26/03/2015,10,10,8.02166071,ESTE ES MI BUS CALLE 80 CO01,11084,1-5a,4,4,4:30 a. m. - 12:30 a. m.,4:30 a. m. - 12:30 a. m.,5:30 a. m. - 11:30 p. m.,1,3,2,3,1,2,3,{B8A98A6C-44B4-43A2-8843-D6F5E8BED405},8021.66070894802
3422,ALI,3-13,Nebraska,Portal Usme,Nebraska,22/05/2021,5,5,3.02860672,E-SOMOS ALIMENTACION,11812,3-13a,12,12,4:00 a. m. - 11:00 p. m.,4:00 a. m. - 10:00 p. m.,4:30 a. m. - 10:00 p. m.,1,4,2,3,1,2,3,{B9480635-318E-448E-A096-8438A267B4D9},3028.60671501961
3425,ALI,1-6,Bolivia Oriental,Portal 80,Bolivia Oriental,3/02/2025,10,10,3.02116475,ESTE ES MI BUS CALLE 80 CO01,11086,1-6a,4,4,4:30 a. m. - 12:30 a. m.,4:30 a. m. - 12:30 a. m.,4:30 a. m. - 11:30 p. m.,1,3,2,3,1,2,3,{B9D954FE-011E-4490-B26D-886D7C6A7CE3},3021.16474742878
3427,ENG,576,Bosa Santa Fe - Engativá,Bosa Santa Fe,Engativá,26/03/2014,10,8,34.18042304,MASIVO CAPITAL KE,8452,576-1,5,8,4:00 a. m. - 11:00 p. m.,4:00 a. m. - 10:00 p. m.,5:00 a. m. - 10:00 p. m.,1,5,1,3,1,2,3,{BA1412DC-D83F-4D47-B03B-51BFEE3075C3},34180.4230382376
3430,LLL,KL325,Fontibón Brisas - El Dorado,El Dorado,Fontibón Brisas,2/04/2022,9,3,24.84254429,ZMO FONTIBON V,10384,K325-2,6,13,3:30 a. m. - 8:00 p. m.,3:30 a. m. - 8:00 p. m.,4:30 a. m. - 8:00 p. m.,1,4,1,3,1,2,3,{BBC03A85-98B4-4DAF-A0B3-8E0A90E27606},24842.5442893857
3437,ALI,3-14,El Uval,Portal Usme,El Uval,22/05/2021,5,5,16.85703097,E-SOMOS ALIMENTACION,10347,3-14a,12,12,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 12:30 a. m.,4:30 a. m. - 11:30 p. m.,1,3,2,3,1,2,3,{BCE8399A-C328-4D92-B9F2-BE545CA26239},16857.0309673601
3442,KKK,KA324,El Refugio - La Perseverancia,El Refugio,Perseverancia,11/05/2022,9,9,41.25154603,GMOVIL ENGATIVA E,12365,KA324-3,6,6,4:00 a. m. - 10:00 p. m.,4:00 a. m. - 9:00 p. m.,5:00 a. m. - 8:00 p. m.,1,4,1,3,1,2,3,{BEF01E8E-AC95-4C43-A9D4-A80897931FD2},41251.5460296314
3443,HHH,KH317,Aeropuerto - Tunal,Aeropuerto,C.C. Tunal,11/05/2022,6,9,22.79770548,GMOVIL ENGATIVA E,10377,H317-2,11,6,3:30 a. m. - 9:00 p. m.,3:30 a. m. - 9:00 p. m.,4:00 a. m. - 8:00 p. m.,1,3,1,3,1,2,3,{BF8FAA2C-54E5-4293-8B9C-E06C10E28FFB},22797.7054827026
3444,HHH,HH726,Bolonia - Est. General Santander,Bolonia,Est. Gral Santander,25/08/2022,5,5,30.44793367,MUEVE USME UB,11838,HH726-3,12,12,3:30 a. m. - 10:00 p. m.,3:30 a. m. - 10:00 p. m.,4:30 a. m. - 9:00 p. m.,1,4,1,3,1,2,3,{C0670041-6D22-4F6B-A52C-9FEE58C36C9D},30447.9336744322
3449,CCC,CL155,Suba Gaitana - Gaviotas,Gaviotas,Suba Gaitana,6/12/2021,4,11,37.30841304,CONSORCIO EXPRESS USAQUEN N,7122,C155-2,3,13,3:00 a. m. - 8:30 p. m.,3:00 a. m. - 8:00 p. m.,4:30 a. m. - 7:00 p. m.,1,4,1,3,1,2,3,{C26B367B-1DFF-4D7E-9CB0-FAA28E1C3649},37308.4130424885
3451,ALI,10-6,Perdomo,Portal Sur,Perdomo,26/03/2015,19,19,5.96689515,ETIB BO,8267,10-6a,10,10,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 11:30 p. m.,1,3,2,3,1,2,3,{C2BFF201-6604-4832-B9F4-AB149F54DF57},5966.89515190157
3455,C80,60,Bachué - Zarazota,Zarazota,Bachué,10/08/2013,10,18,28.59930309,ESTE ES MI BUS CALLE 80 CO01,8438,60-2,4,12,3:00 a. m. - 11:00 p. m.,3:00 a. m. - 11:00 p. m.,4:00 a. m. - 10:00 p. m.,1,3,1,3,1,2,3,{C3DEFB08-DA2F-4891-A60F-DB06C3D2EA80},28599.3030947265
3462,CHA,166,Metrovivienda - Porciúncula,Metrovivienda,Porciuncula,27/08/2014,7,7,58.75071725,MASIVO CAPITAL KE,8192,166-3,8,8,4:00 a. m. - 9:00 p. m.,4:00 a. m. - 9:00 p. m.,5:00 a. m. - 9:00 p. m.,1,5,1,3,1,2,3,{C5A0522B-37D9-4387-A4CB-734A732D9FC0},58750.7172512937
3464,FFF,CF154,Suba Nogales - Puente Aranda,Suba Nogales,Puente Aranda,4/09/2021,16,11,20.20231458,EMASIVO 16 SF,11728,F154-1,7,3,4:00 a. m. - 8:00 p. m.,5:00 a. m. - 9:30 p. m.,5:00 a. m. - 9:30 p. m.,1,4,1,3,1,2,3,{C62F40FD-791F-4114-A181-EFB3E77F2EA1},20202.3145831774
3465,ALI,9-7,Bosa La Independencia,Portal Americas,Bosa La Independencia,17/02/2014,8,8,8.72039094,MASIVO CAPITAL KE,11042,9-7a,8,8,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 11:30 p. m.,1,3,2,3,1,2,3,{C67C4A1D-01A8-4132-9C0E-84D853C2E1CD},8720.39093735621
3468,COM,19-7,Cantabria,Calle 146,Cantabría,30/07/2015,11,11,5.12970629,MASIVO CAPITAL SO,8337,19-7c,2,2,4:00 a. m. - 10:30 p. m.,4:30 a. m. - 10:00 p. m.,4:30 a. m. - 10:00 p. m.,1,3,2,3,1,2,3,{C75CA96E-1D39-4787-8CDF-9BB174D7E83D},5129.70628634357
3469,NOR,T163,Perdomo - Calle 222,Perdomo,Calle 222,28/03/2015,19,11,45.00928751,MASIVO CAPITAL SO,8253,T163-1,2,10,4:00 a. m. - 11:00 p. m.,5:00 a. m. - 11:00 p. m.,5:00 a. m. - 9:00 p. m.,1,3,1,3,1,2,3,{C781C4D3-F96E-47B6-BA1A-1ADAEABB25D2},45009.2875058031
3470,ALI,4-1,Bochica,Molinos,Bochica,22/05/2021,18,18,5.43627999,E-SOMOS ALIMENTACION,10331,4-1a,12,12,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 12:30 a. m.,4:30 a. m. - 11:30 p. m.,1,3,2,3,1,2,3,{C7C3DF09-6252-4159-A3F4-75A09C1001CE},5436.27999252015
3472,GGG,KG311,Bosa San José - Puente Grande,Puente Grande,Bosa San José,19/10/2021,7,9,18.66860969,ZMO FONTIBON V,11209,G311-2,9,6,3:00 a. m. - 9:00 p. m.,3:00 a. m. - 9:00 p. m.,3:00 a. m. - 8:00 p. m.,1,4,1,3,1,2,3,{C90F388C-B5D2-4A72-8E53-092C4B549469},18668.6096851862
3473,LLL,LL820,San Isidro,Portal 20 Julio,San Isidro,3/10/2022,4,4,4.1339335,CONSORCIO EXPRESS SAN CRISTOBALD,10997,L820-3,13,13,4:00 a. m. - 9:00 a. m. _ 4:00 p. m. - 9:00 p. m., , ,1,4,2,1,2,2,3,{C9658235-F3F8-4C0B-93B7-DED623CBFC35},4133.93350341519
